 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| 19.0/(FRExt)| 11/23 | 22:41 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 37.526| 41.289| 42.851| 36.887| 41.087| 42.570| 210960|  82000|  23200|   317840|           3985   |           3679   |
| 19.0/(FRExt)| 11/25 | 23:57 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 37.526| 41.289| 42.851| 36.887| 41.087| 42.570| 210960|  82000|  23200|   317840|           3971   |           3694   |
| 19.0/(FRExt)| 11/25 | 23:59 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 37.526| 41.289| 42.851| 36.887| 41.087| 42.570| 210960|  82000|  23200|   317840|           3490   |           3236   |
| 19.0/(FRExt)| 11/26 | 00:08 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 37.526| 41.289| 42.851| 36.887| 41.087| 42.570| 210960|  82000|  23200|   317840|           3427   |           3184   |
| 19.0/(FRExt)| 11/26 | 00:08 |                                 10s.mp4|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 35.857| 34.172| 34.274| 33.724| 32.304| 32.280|1871280|1824880|1555600|  5254960|           1512   |            513   |
| 19.0/(FRExt)| 11/26 | 00:09 |                                 10s.mp4|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 35.857| 34.172| 34.274| 33.724| 32.304| 32.280|1871280|1824880|1555600|  5254960|           1625   |            574   |
| 19.0/(FRExt)| 11/26 | 00:11 |               foreman_part_qcif_422.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.656| 41.824| 43.069| 38.591| 36.234| 36.931| 210800| 253600| 237440|   705040|           1004   |            511   |
| 19.0/(FRExt)| 11/27 | 21:20 |               foreman_part_qcif_422.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.656| 41.824| 43.069| 38.591| 36.234| 36.931| 210800| 253600| 237440|   705040|           1101   |            567   |
| 19.0/(FRExt)| 11/27 | 21:21 |               foreman_part_qcif_422.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.656| 41.824| 43.069| 38.591| 36.234| 36.931| 210800| 253600| 237440|   705040|           1062   |            528   |
| 19.0/(FRExt)| 11/27 | 23:22 |               foreman_part_qcif_422.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.656| 41.824| 43.069| 38.591| 36.234| 36.931| 210800| 253600| 237440|   705040|            915   |            471   |
| 19.0/(FRExt)| 11/28 | 10:16 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 37.455| 41.289| 42.851| 36.872| 41.082| 42.602| 216080|  84720|  23360|   325840|           3227   |           2988   |
| 19.0/(FRExt)| 11/28 | 11:17 |               foreman_part_qcif_422.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.656| 41.824| 43.069| 38.591| 36.234| 36.931| 210800| 253600| 237440|   705040|            979   |            488   |
| 19.0/(FRExt)| 11/28 | 12:16 |               foreman_part_qcif_422.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.656| 41.824| 43.069| 38.591| 36.234| 36.931| 210800| 253600| 237440|   705040|           1113   |            583   |
| 19.0/(FRExt)| 12/02 | 15:43 |               foreman_part_qcif_422.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.656| 41.824| 43.069| 38.591| 36.234| 36.931| 210800| 253600| 237440|   705040|            880   |            450   |
| 19.0/(FRExt)| 12/02 | 15:43 |               foreman_part_qcif_422.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.656| 41.824| 43.069| 38.591| 36.234| 36.931| 210800| 253600| 237440|   705040|           1009   |            509   |
| 19.0/(FRExt)| 12/02 | 20:35 |               foreman_part_qcif_422.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.656| 41.824| 43.069| 38.591| 36.234| 36.931| 210800| 253600| 237440|   705040|            806   |            408   |
| 19.0/(FRExt)| 12/02 | 20:44 |               foreman_part_qcif_422.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.656| 41.824| 43.069| 38.591| 36.234| 36.931| 210800| 253600| 237440|   705040|           1297   |            451   |
| 19.0/(FRExt)| 12/02 | 22:07 |               foreman_part_qcif_422.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.656| 41.824| 43.069| 38.591| 36.234| 36.931| 210800| 253600| 237440|   705040|            782   |            411   |
| 19.0/(FRExt)| 12/02 | 23:10 |               foreman_part_qcif_422.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.656| 41.824| 43.069| 38.591| 36.234| 36.931| 210800| 253600| 237440|   705040|            843   |            374   |
| 19.0/(FRExt)| 12/02 | 23:10 |               foreman_part_qcif_422.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.656| 41.824| 43.069| 38.591| 36.234| 36.931| 210800| 253600| 237440|   705040|            922   |            427   |
| 19.0/(FRExt)| 12/02 | 23:11 |               foreman_part_qcif_422.yuv|    3 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.656| 41.824| 43.069| 38.591| 36.234| 36.931| 210800| 253600| 237440|   705040|            746   |            391   |
